,﻿id,name,gender,yearOfBirth,gender_binary
300,2759,"Bleckner, Ross",Male,1949.0,0
301,3652,"Blees Luxemburg, Rut",Female,1967.0,1
302,768,"Bliss, Douglas Percy",Male,1900.0,0
303,769,"Bloch, Martin",Male,1883.0,0
304,13711,"Blom, Ansuya",Female,1956.0,1
305,2229,"Blore, Edward",Male,1789.0,0
306,770,"Blow, Sandra",Female,1925.0,1
307,13048,"Bo, Hou",Female,1924.0,1
308,771,"Boccioni, Umberto",Male,1882.0,0
309,772,"Bochner, Mel",Male,1940.0,0
310,773,"Bock, Théophile de",Male,1851.0,0
311,774,"Boden, Neville",Male,1929.0,0
312,40,"Boehm, Sir Joseph Edgar",Male,1834.0,0
313,7713,"Boetti, Alighiero",Male,1940.0,0
314,9822,"Bohm, Dorothy",Female,1924.0,1
315,775,"Boisvert, Gilles",Male,1940.0,0
316,2740,"Boitard, Louis Philippe",Male,1734.0,0
317,2305,"Boltanski, Christian",Male,1944.0,0
318,776,"Bolus, Michael",Male,1934.0,0
319,777,"Bomberg, David",Male,1890.0,0
320,2586,"Bond, Henry",Male,1966.0,0
321,778,"Bone, Sir Muirhead",Male,1876.0,0
322,779,"Bone, Stephen",Male,1904.0,0
323,780,"Bonechi, Lorenzo",Male,1955.0,0
324,41,"Bonington, Richard Parkes",Male,1802.0,0
325,781,"Bonnard, Pierre",Male,1867.0,0
326,782,"Bontecou, Lee",Female,1931.0,1
328,2702,"Borland, Christine",Female,1965.0,1
329,783,"Bornfriend, Jacob",Male,1904.0,0
330,784,"Borofsky, Jonathan",Male,1942.0,0
331,42,"Borseller, Peter",Male,1664.0,0
332,785,"Boshier, Derek",Male,1937.0,0
333,786,"Bosman, Richard",Male,1944.0,0
334,787,"Boswell, James",Male,1906.0,0
335,2684,"Boty, Pauline",Female,1938.0,1
336,43,"Bough, Samuel",Male,1822.0,0
337,44,"Boughton, George Henry",Male,1833.0,0
338,788,"Boumans, Bart",Male,1940.0,0
339,789,"Bourdelle, Antoine",Male,1861.0,0
340,2351,"Bourgeois, Louise",Female,1911.0,1
341,2707,"Bourne, James",Male,1773.0,0
342,790,"Bouvier de Cachard, Comte Régis Guy de",Male,1929.0,0
343,4381,"Bowen, Denis",Male,1921.0,0
344,45,"Bower, Edward",Male,1629.0,0
345,791,"Bowey, Olwyn",Female,1936.0,1
346,46,"Bowler, Henry Alexander",Male,1824.0,0
347,792,"Bowling, Frank",Male,1936.0,0
348,793,"Box, E.",Female,1919.0,1
349,47,"Boxall, Sir William",Male,1800.0,0
350,6550,"Boxer, Stanley",Male,1926.0,0
351,48,"Boyce, George Price",Male,1826.0,0
352,7630,"Boyce, Martin",Male,1967.0,0
353,794,"Boyce, Sonia",Female,1962.0,1
354,795,"Boyd and Evans, Fionnuala and Leslie",Female,1944.0,1
355,1249,"Boyd Harte, Glynn",Male,1948.0,0
356,796,"Boyd, Arthur",Male,1920.0,0
357,797,"Boyle, Mark",Male,1934.0,0
358,2482,"Boyne, John",Male,1750.0,0
359,49,"Boys, Thomas Shotter",Male,1803.0,0
360,50,"Brabazon, Hercules Brabazon",Male,1821.0,0
361,8804,"Braden, Norah",Female,1901.0,1
362,9242,"Bradford, Mark",Male,1961.0,0
363,798,"Bradley, Martin",Male,1931.0,0
364,51,"Bramley, Frank",Male,1857.0,0
365,799,"Brammer, Leonard",Male,1906.0,0
366,800,"Brancusi, Constantin",Male,1876.0,0
367,2414,"Brandard, Robert",Male,1805.0,0
368,9570,"Brandenburg, Ulla von",Female,1974.0,1
369,2742,"Brandoin, Michael-Vincent Charles",Male,1733.0,0
370,801,"Brandt, Bill",Male,1904.0,0
371,802,"Brangwyn, Sir Frank",Male,1867.0,0
372,3094,"Branson, Clive",Male,1907.0,0
373,52,"Branwhite, Nathan",Male,1813.0,0
374,803,"Braque, Georges",Male,1882.0,0
375,11259,Brassai,Male,1899.0,0
376,804,"Bratby, John",Male,1928.0,0
377,2719,"Bravo, Manuel Álvarez",Male,1904.0,0
378,805,"Breakwell, Ian",Male,1943.0,0
379,564,"Bree, Rev. William",Male,1754.0,0
380,806,"Breeze, Claude",Male,1938.0,0
381,807,"Breton, André",Male,1896.0,0
382,808,"Brett, Bernard",Male,1925.0,0
383,53,"Brett, John",Male,1831.0,0
384,809,"Brett, The Hon. Dorothy",Female,1883.0,1
385,54,"Bridell, Frederick Lee",Male,1831.0,0
386,810,"Bridgewater, Alan",Male,1903.0,0
387,811,"Briggs, Ernest",Male,1866.0,0
388,55,"Briggs, Henry Perronet",Male,1791.0,0
389,2415,"Bright, Henry",Male,1810.0,0
390,812,"Brill, Frederick",Male,1920.0,0
391,2671,"Brill, Reginald",Male,1902.0,0
392,813,"Brisley, Stuart",Male,1933.0,0
401,62,"Brock, Sir Thomas",Male,1847.0,0
402,11347,"Brockhurst, Gerald",Male,1890.0,0
403,814,"Brodzky, Horace",Male,1885.0,0
404,11761,"Bronstein, Pablo",Male,1977.0,0
405,815,"Broodthaers, Marcel",Male,1924.0,0
406,816,"Brook, Peter",Male,1927.0,0
407,63,"Brooke, William Henry",Male,1772.0,0
408,817,"Brooker, William",Male,1918.0,0
409,64,"Brooking, Charles",Male,1723.0,0
410,818,"Brooks, James",Male,1906.0,0
411,10428,"Broom, Christina",Female,1863.0,1
412,16107,"Broomberg, Adam",Male,1970.0,0
413,819,"Brough, Robert",Male,1872.0,0
414,820,"Brough, Romey",Female,1944.0,1
415,8785,"Brouwn, Stanley",Male,1935.0,0
416,2703,"Brown, Cecily",Female,1969.0,1
417,2587,"Brown, Don",Male,1962.0,0
418,65,"Brown, Ford Madox",Male,1821.0,0
419,66,"Brown, Frederick",Male,1851.0,0
420,67,"Brown, Kellock",Male,1856.0,0
421,822,"Brown, Mortimer",Male,1874.0,0
422,823,"Brown, Ralph",Male,1928.0,0
423,821,"Brown, Sir Arnesby",Male,1866.0,0
424,2562,"Browne, Hablot Knight",Male,1815.0,0
425,824,"Browne, Henriette",Female,1829.0,1
426,11982,"Bruguera, Tania",Female,1968.0,1
427,825,"Brundrit, Reginald",Male,1883.0,0
428,3824,"Brunias, Agostino",Male,1730.0,0
429,2264,"Brüning, Peter",Male,1929.0,0
430,826,"Brunsdon, John",Male,1933.0,0
431,827,"Brus, Günter",Male,1938.0,0
432,14432,"Bruscky, Paulo",Male,1949.0,0
433,11951,"Bruton, Jo",Female,1967.0,1
434,9098,"Bryce, Fernando",Male,1965.0,0
435,2738,"Buchanan, Roderick",Male,1965.0,0
436,2276,"Buchheister, Carl",Male,1890.0,0
437,14637,"Buchler, Pavel",Male,1952.0,0
438,2483,"Buck, Adam",Male,1759.0,0
439,11696,"Buckingham, Matthew",Male,1963.0,0
440,828,"Buckley, Stephen",Male,1944.0,0
441,829,"Buffet, Bernard",Male,1928.0,0
442,830,"Buhler, Robert",Male,1916.0,0
443,9058,"Bulloch, Angela",Female,1966.0,1
445,2416,"Bunbury, Henry William",Male,1750.0,0
446,831,"Bundy, Edgar",Male,1862.0,0
447,832,"Burchfield, Charles",Male,1893.0,0
448,6319,"Burden, Chris",Male,1946.0,0
449,833,"Buren, Daniel",Male,1938.0,0
451,834,"Burgin, Victor",Male,1941.0,0
452,835,"Burkert, Robert",Male,1930.0,0
453,836,"Burn, Rodney J.",Male,1899.0,0
454,68,"Burne-Jones, Sir Edward Coley, Bt",Male,1833.0,0
455,69,"Burnet, James",Male,1788.0,0
456,2558,"Burnet, John",Male,1784.0,0
457,2334,"Burney, Edward Francis",Male,1760.0,0
458,837,"Burra, Edward",Male,1905.0,0
459,838,"Burri, Alberto",Male,1915.0,0
460,972,"Burt (née Dallas), Angela",Female,1946.0,1
461,839,"Burt, Laurence",Male,1925.0,0
462,840,"Burton, Scott",Male,1939.0,0
463,70,"Burton, William Shakespeare",Male,1824.0,0
464,15853,"Burtynsky, Edward",Male,1955.0,0
465,841,"Bury, Pol",Male,1922.0,0
466,842,"Bush, Jack",Male,1909.0,0
467,843,"Bussy, Simon",Male,1870.0,0
468,6992,"Bustamante, Jean-Marc",Male,1952.0,0
469,71,"Butler, Elizabeth",Female,1846.0,1
470,72,"Butler, Mildred Anne",Female,1858.0,1
471,844,"Butler, Reg",Male,1913.0,0
472,73,"Butler, Samuel",Male,1835.0,0
473,2263,"Butts, John",Male,1728.0,0
474,74,"Buvelot, Louis",Male,1814.0,0
475,11455,"Byrne, Gerard",Male,1969.0,0
476,14505,"Cabrita Reis, Pedro",Male,1956.0,0
477,9243,"Cadere, André",Male,1934.0,0
478,845,"Cage, John",Male,1912.0,0
479,846,"Cahn, Miriam",Female,1949.0,1
480,10611,"Cahun, Claude",Male,1894.0,0
481,75,"Cain, Neville",Male,1855.0,0
482,847,"Caiserman-Roth, Ghitta",Female,1923.0,1
483,76,"Caldecott, Randolph",Male,1846.0,0
484,848,"Calder, Alexander",Male,1898.0,0
485,77,"Calderon, Philip Hermogenes",Male,1833.0,0
486,13491,"Callahan, Harry",Male,1912.0,0
487,78,"Callcott, Sir Augustus Wall",Male,1779.0,0
488,2692,"Calle, Sophie",Female,1953.0,1
489,2396,"Callery, Simon",Male,1960.0,0
490,849,"Calliyannis, Manolis",Male,1923.0,0
491,79,"Callow, William",Male,1812.0,0
492,80,"Calthrop, Claude",Male,1845.0,0
493,2417,"Calvert, Charles",Male,1785.0,0
494,81,"Calvert, Edward",Male,1799.0,0
495,6260,"Calzadilla, Guillermo",Male,1971.0,0
496,850,"Camargo, Sergio de",Male,1930.0,0
497,852,"Cameron, Katherine",Female,1874.0,1
498,851,"Cameron, Sir David",Male,1865.0,0
499,6211,"Camnitzer, Luis",Male,1937.0,0
500,853,"Camp, Jeffery",Male,1923.0,0
501,12393,"Campbell, Duncan",Male,1972.0,0
502,2385,"Campbell, James",Male,1828.0,0
503,854,"Campbell, Steven",Male,1954.0,0
504,82,"Campion, George B.",Male,1796.0,0
505,11797,"Campus, Peter",Male,1937.0,0
506,2302,Canaletto,Male,1697.0,0
507,13793,"Caniaris, Vlassis",Male,1928.0,0
508,855,"Canin, Martin",Male,1927.0,0
509,12113,"Cantor, Ellen",Female,1963.0,1
510,10272,"Cao, Fei",Female,1978.0,1
511,856,"Capel Doray, Audrey",Female,1931.0,1
512,857,"Carder, Malcolm",Male,1936.0,0
513,8803,"Cardew, Michel",Male,1901.0,0
514,4499,"Cardiff, Janet",Female,1957.0,1
515,859,"Cardoso, José, Junior",Male,1861.0,0
516,9119,"Cardoso, Maria",Female,1963.0,1
517,83,"Carline, George",Male,1855.0,0
518,860,"Carline, Hilda",Female,1889.0,1
519,861,"Carline, Nancy",Female,1909.0,1
520,862,"Carline, Richard",Male,1896.0,0
521,863,"Carline, Sydney",Male,1888.0,0
522,84,"Carlisle, George Howard, Ninth Earl of",Male,1843.0,0
523,864,"Carlo, Michael",Male,1945.0,0
524,5248,"Carnegie, Gillian",Female,1971.0,1
525,11738,"Carneiro, André",Male,1922.0,0
526,16015,"Caro, Antonio",Male,1950.0,0
527,865,"Caro, Sir Anthony",Male,1924.0,0
528,866,"Carr, Thomas",Male,1909.0,0
529,867,"Carrière, Eugène",Male,1849.0,0
530,868,"Carrington, Dora",Female,1893.0,1
531,7615,"Carrington, Leonora",Female,1917.0,1
532,869,"Carter, B.A.R.",Male,1909.0,0
533,85,"Carter, Hugh",Male,1837.0,0
534,7079,"Carter, Nathan",Male,1970.0,0
535,86,"Carter, Samuel John",Male,1835.0,0
536,870,"Carter, William",Male,1863.0,0
537,2729,"Cartier-Bresson, Henri",Male,1908.0,0
538,2484,"Carwitham, Thomas",Male,1713.0,0
539,2105,"Casas, Juan Vila",Male,1920.0,0
540,4624,"Casebere, James",Male,1953.0,0
541,871,"Cast, Jesse Dale",Male,1900.0,0
542,87,"Cattermole, George",Male,1800.0,0
543,873,"Caulfield, Patrick",Male,1936.0,0
544,874,"Cazin, Jean-Charles",Male,1841.0,0
545,875,"Cazin, Marie",Female,1844.0,1
546,876,"Celic, Stojan",Male,1925.0,0
547,877,"Celice, Pierre",Male,1932.0,0
548,2731,"Celmins, Vija",Female,1938.0,1
549,878,César,Male,1921.0,0
550,879,"Cézanne, Paul",Male,1839.0,0
551,2253,"Chadwick, Helen",Female,1953.0,1
552,880,"Chadwick, Lynn",Male,1914.0,0
553,881,"Chagall, Marc",Male,1887.0,0
554,882,"Chaimowicz, Marc Camille",Male,1947.0,0
555,883,"Challenger, Michael",Male,1939.0,0
556,88,"Chalon, Henry Bernard",Male,1770.0,0
557,884,"Chamberlain, Christopher",Male,1918.0,0
558,885,"Chamberlain, John",Male,1927.0,0
559,89,"Chambers, George",Male,1803.0,0
560,16108,"Chanarin, Oliver",Male,1971.0,0
561,2340,"Chandler, J.W.",Male,1770.0,0
562,886,"Chandra, Avinash",Male,1931.0,0
